candlestick | Mat Hold | bullish | confidence=0.66 | bars=991-995 | end=2026-06-02
candlestick | Matching High | neutral | confidence=0.66 | bars=967-968 | end=2026-04-16
candlestick | Matching Low | bullish | confidence=0.66 | bars=997-998 | end=2026-06-05
candlestick | Meeting Lines | neutral | confidence=0.66 | bars=992-993 | end=2026-05-26
candlestick | Morning Doji Star | neutral | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Morning Star | bullish | confidence=0.66 | bars=877-879 | end=2025-12-10
candlestick | Northern Doji | neutral | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | On-Neck Line | neutral | confidence=0.66 | bars=990-991 | end=2026-05-22
candlestick | Opening Marubozu | neutral | confidence=0.66 | bars=996-996 | end=2026-06-03
candlestick | Outside Bar | neutral | confidence=0.66 | bars=998-999 | end=2026-06-08
candlestick | Piercing Line | bullish | confidence=0.80 | bars=998-999 | end=2026-06-08
candlestick | Pin Bar | neutral | confidence=0.66 | bars=975-975 | end=2026-04-28
candlestick | Rising Mat Hold | bullish | confidence=0.66 | bars=991-995 | end=2026-06-02
candlestick | Rising Three Methods | bullish | confidence=0.66 | bars=991-995 | end=2026-06-02
candlestick | Separating Candles | neutral | confidence=0.66 | bars=941-942 | end=2026-03-10
candlestick | Separating Lines | neutral | confidence=0.66 | bars=941-942 | end=2026-03-10
candlestick | Shooting Star | bearish | confidence=0.66 | bars=926-926 | end=2026-02-16
candlestick | Short Body Candle | neutral | confidence=0.66 | bars=997-997 | end=2026-06-04
candlestick | Southern Doji | neutral | confidence=0.66 | bars=978-978 | end=2026-05-04
candlestick | Spinning Top | neutral | confidence=0.66 | bars=997-997 | end=2026-06-04
candlestick | Stalled Pattern | bearish | confidence=0.66 | bars=991-993 | end=2026-05-26
candlestick | Stick Sandwich | bullish | confidence=0.66 | bars=914-916 | end=2026-02-02
candlestick | Three Black Crows | bearish | confidence=0.66 | bars=996-998 | end=2026-06-05
candlestick | Three Gaps | neutral | confidence=0.66 | bars=989-990 | end=2026-05-21
candlestick | Three Inside Down | neutral | confidence=0.66 | bars=978-980 | end=2026-05-06
candlestick | Three Inside Up | bullish | confidence=0.66 | bars=978-980 | end=2026-05-06
candlestick | Three Outside Down | neutral | confidence=0.66 | bars=995-997 | end=2026-06-04
candlestick | Three Outside Up | bullish | confidence=0.66 | bars=983-985 | end=2026-05-13
candlestick | Three River Morning Star | bullish | confidence=0.66 | bars=877-879 | end=2025-12-10
candlestick | Three Stars in the South | bullish | confidence=0.66 | bars=237-239 | end=2023-05-23
candlestick | Three White Soldiers | bullish | confidence=0.66 | bars=993-995 | end=2026-06-02
candlestick | Thrusting Line | neutral | confidence=0.66 | bars=990-991 | end=2026-05-22
candlestick | Tri-Star | neutral | confidence=0.66 | bars=237-239 | end=2023-05-23
candlestick | Tweezer Bottom | bullish | confidence=0.66 | bars=997-998 | end=2026-06-05
candlestick | Tweezer Top | bearish | confidence=0.66 | bars=967-968 | end=2026-04-16
candlestick | Two Crows | bearish | confidence=0.66 | bars=995-997 | end=2026-06-04
candlestick | Unique Three River Bottom | bullish | confidence=0.66 | bars=989-991 | end=2026-05-22
candlestick | Upside Gap Side-by-Side White Lines | bullish | confidence=0.66 | bars=976-977 | end=2026-04-30
candlestick | Upside Gap Three Methods | bullish | confidence=0.66 | bars=976-977 | end=2026-04-30
candlestick | Upside Gap Two Crows | bearish | confidence=0.66 | bars=995-997 | end=2026-06-04
candlestick | Upside Tasuki Gap | neutral | confidence=0.66 | bars=989-990 | end=2026-05-21
chart | Ascending Channel | bullish | confidence=0.74 | bars=960-999 | end=2026-06-08
chart | Bullish Order Block | bullish | confidence=0.68 | bars=994-999 | end=2026-06-08
chart | Corrective ABC | neutral | confidence=0.68 | bars=988-999 | end=2026-06-08
chart | Expanded Flat | neutral | confidence=0.66 | bars=988-999 | end=2026-06-08
chart | Last Point of Support | bullish | confidence=0.68 | bars=970-999 | end=2026-06-08
chart | Mitigation Block | neutral | confidence=0.66 | bars=990-999 | end=2026-06-08
chart | Pipe Bottom | bullish | confidence=0.66 | bars=998-999 | end=2026-06-08
chart | Rising Wedge | bearish | confidence=0.74 | bars=950-999 | end=2026-06-08
chart | Zigzag Correction | neutral | confidence=0.68 | bars=988-999 | end=2026-06-08
classic_chart | Adam and Eve Bottom | bullish | confidence=0.64 | bars=902-987 | end=2026-05-15
classic_chart | Adam and Eve Top | bearish | confidence=0.64 | bars=912-973 | end=2026-04-24
classic_chart | Ascending Broadening Wedge | bearish | confidence=0.64 | bars=950-999 | end=2026-06-08
classic_chart | Ascending Scallop | bullish | confidence=0.68 | bars=927-976 | end=2026-04-29
classic_chart | Ascending Triangle | bullish | confidence=0.68 | bars=701-740 | end=2025-05-23
classic_chart | Base Formation | neutral | confidence=0.64 | bars=902-932 | end=2026-02-24
classic_chart | Bear Trap | bullish | confidence=0.68 | bars=931-950 | end=2026-03-23
classic_chart | Bearish Broadening Wedge | bearish | confidence=0.68 | bars=917-968 | end=2026-04-16
classic_chart | Bearish Rectangle | bearish | confidence=0.64 | bars=902-932 | end=2026-02-24
classic_chart | Bearish Symmetrical Triangle | bearish | confidence=0.64 | bars=892-938 | end=2026-03-04
classic_chart | Box Pattern | neutral | confidence=0.64 | bars=902-932 | end=2026-02-24
classic_chart | Breakdown Pattern | bearish | confidence=0.64 | bars=953-973 | end=2026-04-24
classic_chart | Breakout Pattern | bullish | confidence=0.64 | bars=968-988 | end=2026-05-18
classic_chart | Broadening Bottom | bullish | confidence=0.68 | bars=917-968 | end=2026-04-16
classic_chart | Broadening Formation | neutral | confidence=0.68 | bars=917-968 | end=2026-04-16
classic_chart | Broadening Top | bearish | confidence=0.68 | bars=917-968 | end=2026-04-16
classic_chart | Bull Trap | bearish | confidence=0.68 | bars=963-982 | end=2026-05-08
classic_chart | Bullish Broadening Wedge | bullish | confidence=0.68 | bars=917-968 | end=2026-04-16
classic_chart | Bullish Flag | bullish | confidence=0.68 | bars=107-141 | end=2022-12-26
classic_chart | Bullish Pennant | bullish | confidence=0.68 | bars=107-141 | end=2022-12-26
classic_chart | Bullish Rectangle | bullish | confidence=0.64 | bars=902-932 | end=2026-02-24
classic_chart | Bullish Symmetrical Triangle | bullish | confidence=0.64 | bars=892-938 | end=2026-03-04
classic_chart | Bump and Run Reversal Bottom | bullish | confidence=0.64 | bars=943-992 | end=2026-05-25
classic_chart | Bump and Run Reversal Top | bearish | confidence=0.68 | bars=927-976 | end=2026-04-29
classic_chart | Channel | neutral | confidence=0.64 | bars=999-999 | end=2026-06-08
